icao_id,nome,pais,latitude,longitude,altitude,runway_heading
SBPC,Poços de Caldas - Embaixador Walther Moreira Salles Airport,BR,-21.842529,-46.569768,4138.0,
SBPF,Lauro Kurtz Airport,BR,-28.243976,-52.32777,2380.0,
SBPG,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,BR,-25.184476,-50.143822,2588.0,
SBPJ,Brigadeiro Lysias Rodrigues Airport,BR,-10.2915,-48.356998,774.0,
SBPK,João Simões Lopes Neto International Airport,BR,-31.717253,-52.327952,59.0,
SBPL,Senador Nilo Coelho Airport,BR,-9.362422,-40.569098,1263.0,
SBPN,Porto Nacional Airport,BR,-10.719402,-48.3997,870.0,
SBPO,Juvenal Loureiro Cardoso Airport,BR,-26.217184,-52.694463,2697.0,
SBPP,Ponta Porã Airport,BR,-22.549601,-55.702599,2156.0,110.0
SBPR,Carlos Prates Airport,BR,-19.909629,-43.989179,3044.0,
SBPS,Porto Seguro Airport,BR,-16.438426,-39.080584,169.0,164.0
SBPV,Governador Jorge Teixeira de Oliveira Airport,BR,-8.707854,-63.90242,295.0,
SBQA,Fazenda Floresta Airport,BR,-16.536119,-49.838244,2274.0,
SBQB,Fazenda Pedrinhas II Airport,BR,-13.261944,-45.076944,2533.0,
SBQC,Fazenda Cantagalo Airstrip,BR,-13.366514,-55.8551,1421.0,
SBQE,Fazenda Tradição Airport,BR,-7.804289,-45.057598,1424.0,
SBQG,Fazenda Rio Azul Airport,BR,-13.513056,-56.598333,1076.0,
SBQH,CMTE Juliano Rambo Airstrip,BR,-10.699027,-51.614688,728.0,
SBQJ,Osvaldo de Carvalho Airport,BR,-23.846436,-50.208429,2615.0,
SBQK,Fazenda Mundial Airport,BR,-6.539099,-51.442256,778.0,
SBQM,Fazenda São Miguel Airstrip,BR,-22.765333,-53.908334,1214.0,
SBQN,Fazenda Nossa Senhora Aparecida II Airstrip,BR,-15.575414,-57.378182,512.0,
SBQO,Fazenda Paraíso Airstrip,BR,-17.0275,-39.176111,59.0,
SBQP,Fazenda Três Santos Airstrip,BR,-7.752392,-44.315921,1526.0,
SBQR,Fazenda Arena de Aço Airport,BR,-16.80878,-44.97319,1617.0,
SBQS,Santa Rosa Airstrip,BR,-15.405795,-54.964051,2208.0,
SBQT,Fazenda Campo Formoso Airstrip,BR,-15.801978,-53.556395,1877.0,
SBQX,Fazenda São Carlos Airstrip,BR,-13.578333,-57.936944,1841.0,
SBRB,Rio Branco-Plácido de Castro International Airport,BR,-9.869031,-67.893984,633.0,
SBRD,Maestro Marinho Franco Airport,BR,-16.584292,-54.724803,1467.0,
SBRF,Recife/Guararapes - Gilberto Freyre International Airport,BR,-8.125984,-34.923316,33.0,252.0
SBRJ,Santos Dumont Airport,BR,-22.9105,-43.163101,11.0,110.0
SBRP,Leite Lopes Airport,BR,-21.134314,-47.774053,1805.0,250.0
SBRR,Barreirinhas National Airport,BR,-2.756644,-42.803187,40.0,
SBSC,Santa Cruz Air Force Base,BR,-22.9324,-43.719101,10.0,
SBSG,São Gonçalo do Amarante - Governador Aluízio Alves International Airport,BR,-5.769804,-35.366578,272.0,189.0
SBSI,Presidente João Batista Figueiredo Airport,BR,-11.885001,-55.586109,1227.0,
SBSJ,Professor Urbano Ernesto Stumpf Airport,BR,-23.2292,-45.8615,2120.0,225.0
SBSL,Marechal Cunha Machado International Airport,BR,-2.58536,-44.2341,178.0,144.5
SBSM,Santa Maria Airport,BR,-29.711399,-53.688202,287.0,
SBSN,Santarém - Maestro Wilson Fonseca International Airport,BR,-2.422423,-54.79306,198.0,
SBSO,Adolino Bedin Regional Airport,BR,-12.479177,-55.672341,1266.0,
SBSP,Congonhas Airport,BR,-23.627657,-46.654601,2631.0,237.0
SBSR,Prof. Eribelto Manoel Reino State Airport,BR,-20.817113,-49.406963,1784.0,151.0
SBST,Santos Nero Moura Air Base / Guarujá Airport,BR,-23.928192,-46.300195,13.0,
SBSV,Deputado Luiz Eduardo Magalhães International Airport,BR,-12.908611,-38.322498,64.0,200.5
SBTA,Base de Aviação de Taubaté,BR,-23.0401,-45.51615,1902.0,167.0
SBTB,Trombetas Airport,BR,-1.4896,-56.396801,167.0,
SBTC,Una-Comandatuba Airport,BR,-15.354358,-38.998729,23.0,
SBTD,Toledo - Luiz Dalcanale Filho Municipal Airport,BR,-24.6863,-53.697498,1843.0,
SBTE,Senador Petrônio Portela Airport,BR,-5.06025,-42.823712,219.0,
SBTF,Tefé Airport,BR,-3.38294,-64.724098,186.0,
SBTG,Plínio Alarcom Airport,BR,-20.752643,-51.682026,1063.0,143.0
SBTK,Tarauacá Airport,BR,-8.155534,-70.782985,646.0,
SBTL,Telêmaco Borba Airport,BR,-24.317801,-50.6516,2610.0,
SBTR,Torres Airport,BR,-29.4149,-49.810001,30.0,
SBTS,Tiriós Airport,BR,2.224537,-55.944711,1127.0,
SBTT,Tabatinga Airport,BR,-4.25567,-69.935799,263.0,
SBTU,Tucuruí Airport,BR,-3.78601,-49.720299,830.0,
SBTV,Terravista Airport,BR,-16.541416,-39.10811,164.0,217.0
SBUA,São Gabriel da Cachoeira Airport,BR,-0.14835,-66.9855,249.0,
SBUF,Paulo Afonso Airport,BR,-9.40088,-38.250599,883.0,
SBUG,Rubem Berta Airport,BR,-29.7822,-57.0382,256.0,
SBUL,Ten. Cel. Aviador César Bombonato Airport,BR,-18.883579,-48.225936,3094.0,
SBUR,Mário de Almeida Franco Airport,BR,-19.765036,-47.964805,2655.0,
SBUY,Urucu Airport,BR,-4.884263,-65.355421,210.0,
SBVG,Major Brigadeiro Trompowsky Airport,BR,-21.591375,-45.474116,3025.0,161.0
SBVH,Brigadeiro Camarão Airport,BR,-12.6944,-60.098301,2018.0,
SBVT,Eurico de Aguiar Salles Airport,BR,-20258,-40285,34.0,
SBYA,Iauaretê Airport,BR,0.610384,-69.179992,466.0,
SBYS,Campo Fontenelle,BR,-21.984692,-47.341207,1968.0,180.0
SBZM,Presidente Itamar Franco Airport,BR,-21.513086,-43.173069,1348.0,
