callsign,valid_from,valid_to,days,origin,departure_time,destination,flight_time,flight_rules,aircraft_type,rvsm,equipment,pbn,route,alt,eet,performance,operator,remark
AZU2249,030825,030825,7,SBAE,2100,SBPS,0143,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0434F330 PUMUS DCT OLEAR DCT CNF DCT POSMU DCT OSUNO,,EET/SBRE0058,,,
AZU2250,310725,310725,4,SBKP,0910,SBMO,0228,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0454F370 KONVI UZ23 ANDIG DCT,,EET/SBRE0106,,,
AZU2256,310725,310725,4,SBSR,1620,SBMO,0228,IS,A20N/M,SW/C,EQPT/SDE3FGHIRWY,PBN/A1B1C1D1O2S1T1, | N0447F390 DCT VUPOG DCT VULPA DCT BUSDU DCT OROPA DCT URUVA DCT DABAD DCT ANDIG DCT,,EET/SBRE0101,,,
AZU2261,010825,010825,5,SBUR,2220,SBMO,0206,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0447F390 DCT ISRIK DCT UBNED DCT EDNOB UZ23 ANDIG DCT,,EET/SBRE0046,,,
AZU2265,020825,020825,6,SBAE,0910,SBMO,0236,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0447F370 PUPGA DCT VULAD DCT UBNED DCT EDNOB UZ23 ANDIG DCT,,EET/SBRE0110,,,
AZU2288,010825,010825,5,SBKP,0215,SBMO,0228,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0454F370 KONVI UZ23 ANDIG DCT,,EET/SBRE0106,,,
AZU2303,030825,030825,7,SBCF,1525,SBFL,0130,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0435F340 PUDVA UZ21 VUNOX UZ38 SOSGO DCT DOSMU UZ92 PUBIS,,EET/SBCW0042,,,
AZU2324,020825,020825,6,SBAU,1455,SBPS,0140,IS,E195/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0462F370 VUMIK DCT MUBOL DCT OGPUN DCT OSUNO,,EET/SBRE0100,,,
AZU2334,010825,010825,5,SBDN,1630,SBJP,0258,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0446F370 EDSED DCT ISISA DCT ISRIK DCT ERVOB DCT TIGVO DCT PULRI UZ79 MUDAR DCT,,EET/SBBS0011,,,
AZU2345,010825,010825,5,SBSR,0040,SBJP,0249,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0448F390 DCT URB DCT ERVOB DCT MUBAP DCT PULRI UZ79 MUDAR DCT,,EET/SBRE0100,,,
AZU2357,010825,010825,5,SBGO,0855,SBJP,0230,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0447F370 LODUV DCT MUDBI DCT EPDEP UZ78 NETBA UZ79 MUDAR,,EET/SBRE0043,,,
AZU2358,310725,310725,4,SBGO,1600,SBSV,0140,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0448F370 DALSA DCT MUDBI DCT UGTAK UZ19 DOTBI,,EET/SBRE0042,,,
AZU2359,010825,010825,5,SBDN,1955,SBRF,0304,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0451F370 EDSED DCT ISISA DCT VULAD DCT UBNED DCT EDNOB UZ23 ANBEX,,EET/SBBS0012,,,
AZU2384,310725,310725,4,SBCF,1530,SBCN,0122,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0261F180 MIMIP DCT VULPA DCT,,,,,
AZU2385,310725,310725,4,SBCN,1755,SBCF,0126,IS,AT76/M,S/C,EQPT/SDFGHIRY,PBN/B1C2D2D3O2S1, | N0261F170 ANRID DCT VULAD,,,,,
AZU2400,020825,020825,6,SBKP,1200,SBSG,0253,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0450F390 KONVI UZ23 ILPIR UZ72 TOGUN,,EET/SBRE0105,,,
AZU2400,030825,030825,7,SBKP,1205,SBSG,0253,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0450F390 KONVI UZ23 ILPIR UZ72 TOGUN,,EET/SBRE0105,,,
AZU2402,030825,030825,7,SBKP,1525,SBPS,0132,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0459F370 KONVI UZ23 KIBAP DCT NITLU UZ16 OSUNO,,EET/SBBS0042,,,
AZU2408,020825,020825,6,SBKP,1555,SBPS,0132,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0459F370 KONVI UZ23 KIBAP DCT NITLU UZ16 OSUNO,,EET/SBBS0042,,,
AZU2410,020825,020825,6,SBRP,1830,SBSG,0252,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0450F390 KEXIT DCT GEVMI DCT ERVOB DCT EGIKO DCT TOSAD,,EET/SBRE0100,,,
AZU2413,020825,020825,6,SBRP,1430,SBPS,0130,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0443F370 EGBAL DCT CNF DCT POSMU DCT OSUNO,,EET/SBRE0050,,,
AZU2413,030825,030825,7,SBRP,2010,SBPS,0130,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0443F370 EGBAL DCT CNF DCT POSMU DCT OSUNO,,EET/SBRE0050,,,
AZU2415,030825,030825,7,SBUL,1610,SBPS,0130,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0458F370 ISRIK DCT VULAD DCT NIMBI UZ16 OSUNO,,EET/SBRE0046,,,
AZU2415,020825,020825,6,SBUL,1545,SBPS,0130,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0458F370 ISRIK DCT VULAD DCT NIMBI UZ16 OSUNO,,EET/SBRE0046,,,
AZU2416,020825,020825,6,SBGO,1135,SBPS,0129,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0442F370 LODUV DCT MUDBI DCT ATOVU DCT UBNED DCT OSUNO,,EET/SBRE0058,,,
AZU2416,060825,060825,3,SBGO,0915,SBPS,0129,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0442F370 LODUV DCT MUDBI DCT ATOVU DCT UBNED DCT OSUNO,,EET/SBRE0058,,,
